authority_name,aka,count
"dayton hudson foundation (with funds provided by b. dalton, bookseller)","['the Dayton Hudson Foundation with funds provided by B Dalton BOOKSELLER New Rivers Press books are distributed by and Bookslinger', 'the Dayton Hudson Foundation (with funds provided by B. Dalton, Bookseller', 'the Dayton Hudson Foundation (with funds provided by B. Dalton, Bookseller', 'the Dayton Hudson Foundation (with funds provided by B. Dalton, Bookseller', 'the Dayton Hudson Foundation (with funds provided by B. Dalton Bookseller)', 'the Dayton Hudson Foundation (with funds provided by B. Dalton, Bookseller', 'the Dayton Hudson Foundation (with funds provided by B. Dalton,']",7
dayton hudson foundation for dayton's and target stores,"[""the Dayton- Hudson Foundation for Dayton's and Target stores"", ""Dayton Hudson\nFoundation for Dayton's and Target Stores"", ""The Dayton\nHudson Foundation for Dayton's and Target Stores"", 'the Dayton\nHudson Foundation for Daytons and Target stores', ""the Dayton Hudson Founda-\ntion for Dayton's and Target Stores"", 'the Dayton Hudson Foundation for Daytons and Target Stores', ""the Dayton Hudson Founda-\ntion for Dayton's and Target Stores"", ""Dayton Hudson Foundation for Dayton's and Target Stores"", ""Dayton\nHudson Foundation for Dayton's and Target Stores"", ""Dayton Hudson Foundation for Dayton's and Target Stores"", ""Dayton Hudson Foundation for Dayton's and Target Stores"", ""the Dayton Hudson Foundation for Dayton's and Target Stores"", ""the Dayton\nHudson Foundation for Dayton's and Target Stores"", ""the Dayton Hudson Founda-\ntion for Dayton's and Target Stores"", ""The Dayton\nHudson Foundation for Dayton's and Target Stores"", ""Dayton Hudson Foundation for Dayton's and Target Stores"", ""the Dayton Hudson Founda-\ntion for Dayton's and Target Stores"", ""the Dayton\nHudson Foundation for Dayton's and Target Stores""]",18
dayton hudson foundation with funds from daytons and target stores,['the Dayton Hudson Foundation with funds from Daytons and Target Stores'],1
dayton's and target stores,"[""Dayton's and Target stores. Coffee House Press Books are available to bookstores and libraries through our primary distributor: Consortium Book Sales & Distribu- tion"", ""Dayton's and Target stores. Coffee House Press Books are available to bookstores and libraries through our primary distributor: Consortium Book Sales & Distribu- tion""]",2
dayton's project imagine with support from target foundation,"[""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Founda- tion"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with support from Target Foundation"", ""Dayton's Project Imagine with sup-\nport from Target Foundation""]",16
"dayton's, mervyn's, and target stores through dayton hudson foundation","[""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Tar- get stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target Stores"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target Stores"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Tar- get stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and Target stores through\nthe Dayton Hudson Foundation"", ""Dayton's, Mervyn's, and\nTarget"", ""Dayton's, Mervyn's, and Target Stores"", ""Dayton's, Mervyn's, and Target"", ""Dayton's,\nMervyn's, and Target Stores"", ""Dayton's, Mervyn's, and Target"", ""Dayton's, Mervyn's, and Target Stores"", ""Dayton's, Mervyn's, and Target Stores"", ""Dayton's, Mervyn's, and\nTarget"", ""Dayton's, Mervyn's California""]",46
"deb mercier allen sheets, design director designers: julie campbell","['Deb Mercier Allen Sheets, Design Director Designers: Julie Campbell']",1
debbie reynolds,"['Debbie\nReynolds', 'Debbie\nReynolds', 'Debbie\nReynolds', 'Debbie\nReynolds']",4
debbie reynolds; cynthia and stephen snyder,"['Debbie\nReynolds; Cynthia and Stephen Snyder', 'Debbie\nReynolds; Cynthia and Stephen Snyder']",2
"debbie reynolds; st. paul companies, inc.","['Debbie Reynolds; St. Paul Companies, Inc.', 'Debbie Reynolds; St. Paul Companies, Inc.', 'Debbie Reynolds; St. Paul Companies, Inc.', 'Debbie Reynolds; St. Paul\nCompanies, Inc.', 'Debbie Reynolds; St. Paul Companies, Inc.', 'Debbie Reynolds;\nSt. Paul Companies, Inc.', 'Debbie Reynolds;\nSt. Paul Companies, Inc.', 'Debbie Reynolds; St. Paul Companies, Inc.']",8
debbie reynolds; st. paul travelers foundation,"['Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; the St. Paul Travelers Foundation', 'Debbie Reynolds; the St. Paul Travelers Foundation', 'Debbie Reynolds;\nthe St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers\nFoundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds;\nSt. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul\nTravelers Foundation', 'Debbie\nReynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; the St. Paul Travelers Foundation', 'Debbie Reynolds; the\nSt. Paul Travelers Foundation', 'Debbie Reynolds; the St. Paul Travelers\nFoundation', 'Debbie\nReynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul\nTravelers Foundation', 'Debbie Reynolds, St. Paul Travelers Foundation', 'Debbie\nReynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; St. Paul Travelers Foundation', 'Debbie Reynolds; the St. Paul Travelers Foundation', 'Debbie Reynolds; the St. Paul Travelers\nFoundation', 'Debbie Reynolds;\nSt. Paul Travelers Foundation']",28
debbie reynolds; starbucks foundation,"['Debbie Reynolds; the Starbucks Foundation', 'Debbie Reynolds; the Starbucks Foundation']",2
debbie reynolds; tschinag,['Debbie Reynolds;\nTschinag'],1
"deborah reynolds; schwegman, lundberg & woessner, p.a.","['Deborah Reynolds; Schwegman, Lundberg & Woessner, p.a.']",1
"deborah reynolds; st. paul companies, inc.","['Deborah Reynolds; St. Paul Companies, Inc.']",1
del corazón family fund,"['Del Corazón Family Fund', 'Del Corazón Family Fund', 'Del Corazón Family Fund', 'Del Corazón Family Fund', 'Del Corazón Family Fund', 'DeL Corazón Family Fund', 'DeL Corazon Family Fund', 'Del Corazón Family Fund', 'Del Corazón Family Fund', 'Del Corazón Family Fund', 'Del Corazón\nFamily Fund', 'DeL Corazon Family Fund', 'Del Corazón Family Fund', 'Del Corazón Family Fund']",14
denis felix/getty images author,['Denis Felix/Getty Images\nAuthor'],1
department stores company foundation,"['Department Stores Company Foundation', 'Department Stores Company Foundation']",2
lila wallace reader's digest fund,"['Digest Fund', ""the Lila Wallace- Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace/Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace/Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""The Lila Wallace Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace Reader's Digest Fund"", ""the Lila Wallace Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace/Reader's Digest Fund"", ""the Lila Wallace/Reader's Digest Fund"", ""the Lila Wallace - Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace/Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", 'The Lila Wallace-Readers Digest Fund', ""the Lila Wallace- Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", 'The Lila Wallace Readers Digest Fund', ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace/ Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace/Reader's Digest Fund"", ""the Lila Wallace Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace Reader's Digest Fund"", ""the Lila Wallace Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace- Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace – Reader's Digest Fund"", ""Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""LilaWallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace Reader's Digest Fund"", 'The Lila Wallace Readers Digest Fund', ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-Reader's Digest\nFund"", ""the Lila\nWallace-Reader's Digest Fund"", ""the Lila\nWallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""Lila Wallace-\nReader's Digest Fund"", ""THE BLACK ARTS MOVEMENT SERIES began with a\nmaior grant from the Lila Wallace Reader's Digest\nFund"", ""the Lila\nWallace-Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest\nFund"", ""the Lila Wallace-\nReader's Digest Fund"", ""the Lila Wallace-Reader's Digest Fund"", ""the Lila. Wallace-Reader's Digest\nFund"", ""Lila-Wallace Reader's\nDigest Fund"", ""Lila Wallace Reader's Digest Fund"", ""the Lila Wallace-Reader's Digest\nFund"", ""Lila Wallace-\nReader's Digest Fund""]",130
digital vision/picture,['Digital Vision/Picture'],1
direccion general del libro y bibliotecas del,['the Direccion General del Libro y Bibliotecas del'],1
"doherty, rumble and butler foundation","['Doherty, Rumble and Butler;', 'Doherty, Rumble and Butler;', 'Doherty, Rumble and Butler\nFoundation', 'Doherty, Rumble and Butler Foundation', 'Doherty, Rumble and Butler Foundation', 'Doherty, Rumble and Butler Foundation']",6
"donald hall, alice mattison,","['Donald Hall, Alice Mattison,']",1
dorothy kaplan light,"['Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light', 'Dorothy Kaplan Light']",11
dorsey and whitney foundation,"['Dorsey and Whitney Foundation', 'Dorsey and Whitney Foundation', 'Dorsey and Whitney\nFoundation', 'Dorsey and Whitney Foundation']",4
dougherty family foundation,"['Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty\nFamily Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family\nFoundation', 'Dougherty Family\nFoundation', 'Dougherty Family\nFoundation', 'Dougherty Family\nFoundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty\nFamily Foundation', 'the Dougherty Family\nFoundation', 'Dougherty Family\nFoundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family Foundation', 'Dougherty Family Foundation', 'the Dougherty Family Foundation', 'the Dougherty\nFamily Foundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family Foundation', 'the Dougherty Family\nFoundation', 'Dougherty Family Foundation', 'the Dougherty Family Foundation', 'the Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty Family Foundation', 'Dougherty\nFamily Foundation', 'Dougherty Family\nFoundation', 'Dougherty Family\nFoundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family Foundation', 'Dougherty Family\nFoundation', 'the Dougherty Family Foundation', 'the Dougherty Family\nFoundation', 'the Dougherty Family\nFoundation', 'Dougherty\nFamily Foundation']",52
douglas paschall alice swanson. copyright ©,['Douglas Paschall Alice Swanson. Copyright ©'],1
driscoll foundation,['the Driscoll Foundation'],1
e. thomas binger and rebecca rand fund of minneapolis foundation,['the E. Thomas Binger and Rebecca Rand Fund of the Minneapolis Foundation'],1
ecolab foundation,"['Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'Ecolab\nFoundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab\nFoundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foun- *', 'Ecolab\nFoundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'the Ecolab Foundation', 'Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'Ecolab\nFoundation', 'the Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'the Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab\nFoundation', 'Ecolab Foundation', 'Ecolab Foundation', 'Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab\nFoundation', 'Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'the Ecolab Foundation', 'Ecolab Foundation', 'Ecolab\nFoundation', 'Ecolab Foundation']",86
"eines mittages, mitte juni","['Eines Mittages, Mitte\nJuni', 'Eines Mittages, Mitte\nJuni']",2
elena andrenelli,"['Elena Andrenelli', 'Elena Andrenelli']",2
elmer anderson foundation,['the Elmer Anderson Foundation'],1
emilie and henry buchwald,['Emilie and Henry Buchwald'],1
