authority_name,aka,count
around town literary media guides,['Around Town Literary Media Guides'],1
arsham ohanessian charitable remainder unitrust and,['the Arsham Ohanessian Charitable Remainder Unitrust and'],1
arsham ohanessian charitable remainder unitrust and ruth easton fund of edelstein family foundation,['the Arsham Ohanessian Charitable Remainder Unitrust and the Ruth Easton Fund of the Edelstein Family Foundation'],1
arts conceded ir civilising role to science?,['the Arts Conceded Their Civilising Role to Science?'],1
arts de,"['the Arts De-', 'the Arts De-']",2
arts development fund of united arts council,"['the Arts Development Fund', 'The Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Develop- ment Fund of the United Arts Council', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'The Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'The Arts Develop- ment Fund of the United Arts Council', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund of United Arts', 'the Arts Development Fund of United Arts', 'the Arts Development Fund of United Arts', 'the\nArts Development Fund of United Arts', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund of United Arts', 'the Arts Development Fund', 'the Arts Develop-\nment Fund of United Arts', 'the Arts Development', 'the Arts Development', 'the Arts Development Fund of United Arts', 'the Arts Develop-\nment Fund of United Arts', 'the Arts Development', 'the Arts Development Fund of United Arts', 'the Arts Development Fund', 'the Arts Development Fund of United Arts', 'the Arts Development Fund', 'the Arts Development Fund of United Arts', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund', 'the Arts Development Fund']",59
"arts foundation of michigan, bay de noc com","['the Arts Foundation of Michigan, Bay de Noc Com-', 'the Arts Foundation of Michigan, Bay de Noc Com-']",2
arts state artsboard graywolf,['THE ARTs STATE ARTSBOARD Graywolf'],1
athwin foundation,"['Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Achwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'Athwin Foundation', 'the Athwin Foundation', 'the Athwin Foundation']",21
b dalton bookseller fiction,['B Dalton BOOKSELLER Fiction'],1
"b. dalton, bookseller","['B. Dalton, Bookseller']",1
